Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Z-Score Thresholding,0.8526880766501065,0.8866666666666667,0.8498402555910544,0.867862969004894,0.8993010646987265
Isolation Forest,0.8478087295954577,0.8247892773248584,0.9302579287773708,0.8743545611015491,0.9399446986827601
