model,accuracy,macro_precision,macro_recall,macro_f1
"Cascaded AE+XGB (Model C, no gate)",0.8003016323633783,0.8179290859308697,0.5898516983305779,0.6021274799082673
"Cascaded AE+XGB (Model C, gated)",0.4750266146202981,0.5551560061561207,0.5884675141073259,0.423094813011817
