model,accuracy,precision,recall,f1,auc
Autoencoder only,0.5812189496096523,0.5761425877704948,1.0,0.7310792719400689,0.9544571298398735
Isolation Forest (raw),0.8108144073811213,0.9274595889044103,0.7243045273903218,0.8133887551957996,0.9374702533708071
Deep Isolation Forest (Model A),0.7583392476933996,0.9257465698143664,0.6256526143536196,0.7466753464149539,0.9270228107060672
