model,accuracy,precision,recall,f1,auc
1. AE only,0.5812189496096523,0.5761425877704948,1.0,0.7310792719400689,0.9544571298398735
2. Isolation Forest (raw),0.8108144073811213,0.9274595889044103,0.7243045273903218,0.8133887551957996,0.9374702533708071
3. Deep IF (Model A),0.7583392476933996,0.9257465698143664,0.6256526143536196,0.7466753464149539,0.9270228107060672
4. XGBoost (raw only),0.8101490418736693,0.9677348791425134,0.6894724538299696,0.805242082271569,0.9596419111881412
5. XGBoost (raw + latent z),0.8117015613910575,0.9662323561346363,0.6934465830281306,0.8074218572789548,0.9631373299434463
6. XGBoost (raw + residuals),0.8213715400993612,0.9677076694285107,0.7098885685342476,0.8189868296849013,0.9655419316364977
7. Model C (raw + z + residuals),0.8203069552874379,0.9667304421768708,0.7087197070053768,0.8178589092217077,0.9638968271409671
8. Model C + AE gate (cascade),0.5812189496096523,0.5761425877704948,1.0,0.7310792719400689,0.9638968271409671
