model,accuracy,precision,recall,f1,auc
Z-Score (Phase 1),0.8527,0.8867,0.8498,0.8679,0.8993
Isolation Forest (Phase 1),0.8486,0.8604,0.8763,0.8682,0.9391
One-Class SVM,0.8159155429382541,0.9377836039124736,0.7246941478999455,0.8175824175824176,0.9039853736677343
Autoencoder (Skip),0.5817955997161107,0.5764790440681011,1.0,0.7313500883341881,0.9320286298173692
VAE (beta=0.5),0.5822391767210788,0.5767381241292526,1.0,0.7315585452057918,0.9406755290226836
