variant,f1,auc
AE (No Skip),0.7311417502278943,0.9531850194777757
"AE (Skip, No Curriculum)",0.7303095834281812,0.9526902042390631
AE (Skip + Curriculum + Weighted),0.7313500883341881,0.9320286298173692
VAE (beta=1.0),0.7306422227283079,0.9354181798013074
VAE (beta=0.5),0.7315585452057918,0.9406755290226836
