,OC-SVM,AE (Skip),VAE
sigma=0.0,0.8175824175824176,0.7313500883341881,0.7331257676597447
sigma=0.1,0.8193457861966149,0.7261770031688547,0.7261564577733767
sigma=0.3,0.8283131239556107,0.7254996183961331,0.7254996183961331
sigma=0.5,0.8402838689099753,0.7254996183961331,0.7254996183961331
sigma=1.0,0.7291619091116693,0.7254996183961331,0.7254996183961331
