Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Z-Score Thresholding,0.8526880766501065,0.8866666666666667,0.8498402555910544,0.867862969004894,0.8993010646987265
Isolation Forest,0.8486071682044003,0.8603672532517215,0.8762565261435362,0.8682392000926533,0.9391005209119089
